Site_Location,Size,Bath,Balcony,New_Total_Sqft,Price,area_type
Alandi Road,2 BHK,2,1,1056,42.977,Super built-up  Area
Ambegaon Budruk,4 Bedroom,5,3,2600,132,Plot  Area
Anandnagar,3 BHK,2,3,1440,68.2,Built-up  Area
Aundh,3 BHK,3,1,1521,104.5,Super built-up  Area
Aundh Road,2 BHK,2,1,1200,56.1,Super built-up  Area
Balaji Nagar,2 BHK,2,1,1170,41.8,Super built-up  Area
Baner,4 BHK,4,2,2732,224.4,Super built-up  Area
Baner road,4 BHK,4,2,3300,660,Super built-up  Area
Bhandarkar Road,3 BHK,3,1,1310,69.575,Super built-up  Area
Bhavani Peth,6 Bedroom,6,2,1020,407,Plot  Area
Bibvewadi,3 BHK,2,2,1800,77,Super built-up  Area
Bopodi,4 Bedroom,5,3,2785,324.5,Plot  Area
Budhwar Peth,2 BHK,2,1,1000,41.8,Super built-up  Area
Bund Garden Road,2 BHK,2,2,1100,44,Built-up  Area
Camp,3 Bedroom,3,2,2250,162.8,Plot  Area
Chandan Nagar,2 BHK,2,2,1175,80.85,Super built-up  Area
Dapodi,3 BHK,3,2,1180,52.8,Super built-up  Area
Deccan Gymkhana,3 BHK,3,3,1540,66,Super built-up  Area
Dehu Road,3 BHK,4,2,2770,319,Super built-up  Area
Dhankawadi,2 BHK,2,2,1100,52.8,Super built-up  Area
Dhayari Phata,1 BHK,1,1,600,16.5,Built-up  Area
Dhole Patil Road,3 BHK,3,1,1755,134.2,Super built-up  Area
Erandwane,4 Bedroom,5,2,2800,418,Plot  Area
Fatima Nagar,3 BHK,3,1,1767,113.3,Super built-up  Area
Fergusson College Road,1 RK,1,0,510,27.775,Super built-up  Area
Ganesh Peth,3 BHK,3,2,1250,61.6,Super built-up  Area
Ganeshkhind,2 BHK,1,1,660,25.41,Super built-up  Area
Ghorpade Peth,3 BHK,3,2,1610,89.1,Built-up  Area
other,2 BHK,2,2,1151,53.647,Super built-up  Area
Gokhale Nagar,3 BHK,2,1,1025,51.7,Super built-up  Area
Gultekdi,4 BHK,4,0,2475,204.6,Super built-up  Area
Guruwar peth,3 BHK,2,1,1075,38.5,Super built-up  Area
Hadapsar,3 BHK,2,2,1760,135.3,Super built-up  Area
Hadapsar Industrial Estate,3 BHK,3,3,1693,63.129,Super built-up  Area
Hingne Khurd,3 BHK,3,2,1925,137.5,Built-up  Area
Jangali Maharaj Road,2 BHK,2,1,700,39.6,Super built-up  Area
Kalyani Nagar,2 BHK,2,1,1070,50.05,Super built-up  Area
Karve Nagar,3 BHK,3,2,1724,137.5,Super built-up  Area
Karve Road,3 BHK,2,2,1290,61.732,Super built-up  Area
Kasba Peth,2 BHK,2,2,1143,49.5,Built-up  Area
Katraj,2 BHK,2,2,1296,89.1,Built-up  Area
Khadaki,3 BHK,3,2,1254,41.8,Super built-up  Area
Khadki,1 BHK,1,0,600,41.8,Super built-up  Area
Kharadi,1 Bedroom,1,0,660,52.8,Plot  Area
Kondhwa,2 BHK,2,2,1330.74,100.969,Super built-up  Area
Kondhwa Budruk,8 Bedroom,9,2,600,220,Plot  Area
Kondhwa Khurd,2 BHK,2,0,970,36.3,Super built-up  Area
Koregaon Park,2 BHK,2,1,1459,104.302,Super built-up  Area
Kothrud,2 Bedroom,1,1,800,143,Plot  Area
Law College Road,2 BHK,2,1,869,39.6,Built-up  Area
Laxmi Road,2 BHK,2,1,1270,55,Super built-up  Area
